epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.5267,0,1,1,0,0.00048,0.00048,0.00048
2,39.7288,0,1,1,0,0.00091532,0.00091532,0.00091532
3,52.6343,0,1,1,0,0.00128464,0.00128464,0.00128464
4,65.8231,0,1,1,0,0.00158796,0.00158796,0.00158796
5,79.4011,0,1,1,0,0.001472,0.001472,0.001472
6,93.8635,0,1,1,0,0.00134,0.00134,0.00134
7,106.174,0,1,1,0,0.001208,0.001208,0.001208
8,119.013,0,1,1,0,0.001076,0.001076,0.001076
9,131.662,0,1,1,0,0.000944,0.000944,0.000944
10,144.473,0,1,1,0,0.000812,0.000812,0.000812
11,157.195,0,1,1,0,0.00068,0.00068,0.00068
12,170.716,0,1,1,0,0.000548,0.000548,0.000548
13,183.838,0,1,1,0,0.000416,0.000416,0.000416
14,197.009,0,1,1,0,0.000284,0.000284,0.000284
15,209.921,0,1,1,0,0.000152,0.000152,0.000152
